Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,country,state,total_population,gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married,churn_value
No,0,32,no offer,Yes,25.89,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.8,587.7,0.0,0,828.48,1416.18,United States,California,254,Male,79,No,Yes,No,No,0,No,0
No,0,32,Offer C,Yes,35.97,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.55,654.55,0.0,0,1151.04,1805.59,United States,California,38460,Female,61,No,No,No,No,0,No,0
No,0,1,no offer,Yes,13.13,No,Yes,Fiber Optic,57,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.35,79.35,0.0,0,13.13,92.48,United States,California,78114,Female,32,No,No,No,Yes,3,No,1
No,0,2,no offer,Yes,40.28,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.05,42.7,0.0,0,80.56,123.26,United States,California,62634,Male,19,Yes,No,No,No,0,No,0
No,0,64,Offer B,Yes,48.41,No,Yes,Fiber Optic,22,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,73.55,4764.0,21.9,0,3098.24,7840.34,United States,California,844,Male,40,No,No,Yes,No,0,Yes,0
Yes,1,19,Offer D,Yes,21.71,Yes,Yes,Fiber Optic,47,No,No,Yes,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.65,1761.05,0.0,80,412.49,2253.54,United States,California,24180,Female,20,Yes,No,Yes,No,0,Yes,1
No,0,10,no offer,Yes,8.38,No,Yes,Fiber Optic,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.4,1081.45,0.0,0,83.80000000000001,1165.25,United States,California,42239,Male,37,No,No,No,No,0,No,1
Yes,4,13,no offer,Yes,13.77,Yes,Yes,DSL,23,No,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,72.8,930.05,0.0,0,179.01,1109.06,United States,California,178,Male,33,No,No,Yes,Yes,2,Yes,0
No,0,41,no offer,Yes,6.61,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.25,865.0,46.78,0,271.01,1089.23,United States,California,12173,Female,39,No,No,No,No,0,No,0
No,0,9,no offer,Yes,34.75,Yes,Yes,Fiber Optic,3,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.25,684.85,0.0,0,312.75,997.6,United States,California,33389,Male,48,No,No,No,No,0,No,0
No,0,69,no offer,Yes,3.24,Yes,Yes,Cable,26,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,81.5,5553.25,0.0,0,223.56,5776.81,United States,California,1177,Male,46,No,No,No,No,0,No,0
Yes,1,7,no offer,Yes,16.05,No,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,70.1,467.55,20.23,0,112.35,559.67,United States,California,8660,Male,75,No,Yes,Yes,No,0,Yes,1
No,0,22,Offer D,Yes,33.73,Yes,Yes,Fiber Optic,19,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,1816.75,0.0,0,742.06,2558.81,United States,California,2055,Female,32,No,No,No,Yes,2,No,0
Yes,6,23,Offer D,Yes,48.73,No,Yes,Fiber Optic,75,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.3,1702.9,0.0,0,1120.79,2823.69,United States,California,2182,Female,51,No,No,Yes,Yes,3,Yes,0
No,0,17,no offer,Yes,32.19,Yes,Yes,Fiber Optic,11,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,94.2,1608.15,36.4,0,547.23,2118.98,United States,California,42459,Female,79,No,Yes,No,No,0,No,0
Yes,9,15,no offer,Yes,22.83,Yes,Yes,Fiber Optic,26,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.5,1392.25,0.0,0,342.45,1734.7,United States,California,1852,Male,79,No,Yes,Yes,No,0,Yes,0
Yes,1,48,Offer B,Yes,20.73,Yes,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,26.3,1245.05,0.0,0,995.04,2240.09,United States,California,830,Male,59,No,No,Yes,Yes,3,Yes,0
No,0,19,Offer D,Yes,36.88,Yes,Yes,DSL,27,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,56.1,1033.9,0.0,0,700.72,1734.62,United States,California,138,Female,54,No,No,No,No,0,No,0
No,0,1,Offer E,Yes,44.59,No,Yes,Fiber Optic,41,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,70.6,70.6,0.0,0,44.59,115.19,United States,California,36057,Male,30,No,No,No,No,0,No,1
Yes,1,19,no offer,Yes,14.09,Yes,Yes,Fiber Optic,25,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,83.65,1465.75,0.0,130,267.71,1863.46,United States,California,46086,Male,59,No,No,Yes,No,0,Yes,1
No,0,53,Offer B,No,0.0,No,Yes,Cable,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,54.9,3045.75,0.0,0,0.0,3045.75,United States,California,9210,Male,62,No,No,No,No,0,No,0
Yes,9,71,Offer A,Yes,49.32,Yes,Yes,Fiber Optic,9,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.6,7854.15,0.0,0,3501.72,11355.87,United States,California,90891,Male,53,No,No,Yes,No,0,Yes,0
Yes,6,15,Offer D,Yes,4.19,Yes,Yes,Fiber Optic,59,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.35,1559.25,0.0,0,62.85000000000001,1622.1,United States,California,13158,Female,19,Yes,No,Yes,Yes,3,Yes,0
No,0,2,no offer,Yes,40.75,No,Yes,DSL,71,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,49.25,97.0,0.0,0,81.5,178.5,United States,California,33523,Male,22,Yes,No,No,No,0,No,0
Yes,4,4,no offer,Yes,27.24,No,Yes,DSL,21,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,61.45,229.55,0.0,0,108.96,338.51,United States,California,1107,Male,44,No,No,Yes,Yes,1,Yes,1
Yes,7,26,no offer,Yes,23.31,No,Yes,DSL,20,No,Yes,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,73.05,1959.5,47.59,50,606.06,2567.9700000000003,United States,California,1586,Female,35,No,No,Yes,No,0,Yes,0
Yes,1,8,no offer,Yes,32.32,No,Yes,Cable,25,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.55,680.05,0.0,0,258.56,938.61,United States,California,1779,Female,32,No,No,Yes,No,0,Yes,1
No,0,18,Offer D,Yes,2.26,Yes,Yes,Fiber Optic,73,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,84.3,1537.9,0.0,0,40.67999999999999,1578.5800000000002,United States,California,11264,Male,19,Yes,No,No,No,0,No,0
No,0,33,no offer,Yes,45.72,No,Yes,Cable,51,No,Yes,Yes,No,Yes,No,Yes,No,Month-to-Month,Yes,Credit Card,66.4,2245.4,0.0,0,1508.76,3754.16,United States,California,59841,Male,19,Yes,No,No,No,0,No,0
No,0,72,no offer,Yes,9.47,Yes,Yes,Fiber Optic,21,No,No,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,107.5,7853.7,0.0,60,681.84,8595.539999999999,United States,California,20408,Female,40,No,No,No,No,0,No,0
No,0,6,no offer,Yes,43.19,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,20.95,109.5,0.0,0,259.14,368.64,United States,California,75929,Female,40,No,No,No,No,0,No,0
Yes,1,18,Offer D,Yes,31.49,Yes,Yes,Fiber Optic,20,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,1687.95,0.0,0,566.8199999999999,2254.77,United States,California,30173,Male,53,No,No,Yes,No,0,Yes,1
Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,United States,California,46214,Female,72,No,Yes,Yes,No,0,Yes,1
No,0,21,Offer D,Yes,24.91,Yes,Yes,Fiber Optic,17,No,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,104.35,2271.85,0.0,130,523.11,2924.96,United States,California,1173,Male,75,No,Yes,No,No,0,No,0
No,0,32,Offer C,Yes,25.45,Yes,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,96.15,3019.25,0.0,0,814.4,3833.65,United States,California,41575,Male,67,No,Yes,No,No,0,No,1
No,0,3,Offer E,No,0.0,No,Yes,DSL,18,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,29.75,96.85,0.0,0,0.0,96.85,United States,California,616,Male,58,No,No,No,No,0,No,0
No,0,1,no offer,Yes,31.34,No,Yes,Fiber Optic,52,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.05,79.05,0.0,0,31.34,110.39,United States,California,46171,Male,24,Yes,No,No,No,0,No,1
No,0,12,Offer D,Yes,16.72,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.35,219.35,0.0,0,200.64,419.99,United States,California,22085,Female,53,No,No,No,No,0,No,0
Yes,5,72,Offer A,Yes,36.05,Yes,Yes,Fiber Optic,14,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,105.25,7609.75,0.0,0,2595.6,10205.35,United States,California,60274,Male,41,No,No,Yes,Yes,2,Yes,0
Yes,1,64,Offer B,Yes,4.01,Yes,Yes,Fiber Optic,71,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,108.5,6880.85,0.0,0,256.64,7137.490000000001,United States,California,231,Male,27,Yes,No,Yes,No,0,Yes,0
Yes,3,47,Offer B,Yes,15.68,Yes,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,24.55,1160.45,0.0,0,736.96,1897.41,United States,California,14062,Male,28,Yes,No,Yes,Yes,2,Yes,0
No,0,2,no offer,Yes,1.87,No,Yes,DSL,12,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,46.6,87.9,0.0,0,3.74,91.64,United States,California,23661,Male,45,No,No,No,No,0,No,0
Yes,2,72,Offer A,Yes,11.57,Yes,Yes,Fiber Optic,18,No,Yes,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,89.7,6588.95,0.0,0,833.04,7421.99,United States,California,46171,Male,32,No,No,Yes,No,0,Yes,0
Yes,9,46,Offer B,Yes,26.12,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.95,862.4,0.0,0,1201.52,2063.92,United States,California,41062,Male,40,No,No,Yes,Yes,2,Yes,0
No,0,51,Offer B,Yes,1.51,Yes,Yes,Fiber Optic,52,No,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,87.35,4473.0,0.0,0,77.01,4550.01,United States,California,18884,Male,21,Yes,No,No,No,0,No,0
Yes,8,36,no offer,Yes,47.45,No,Yes,DSL,14,Yes,No,Yes,No,No,Yes,Yes,Yes,One Year,Yes,Credit Card,63.7,2188.5,0.0,0,1708.2,3896.7,United States,California,2873,Male,36,No,No,Yes,Yes,2,Yes,0
Yes,1,10,Offer D,Yes,31.72,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.3,738.2,0.0,0,317.2,1055.4,United States,California,32873,Male,36,No,No,Yes,No,0,Yes,1
Yes,3,43,Offer B,Yes,27.49,Yes,Yes,Fiber Optic,53,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,92.55,4039.0,0.0,0,1182.07,5221.07,United States,California,30614,Female,59,No,No,Yes,Yes,3,Yes,0
Yes,5,72,no offer,Yes,12.02,Yes,Yes,Cable,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,87.1,6230.1,0.0,0,865.4399999999999,7095.54,United States,California,162,Male,48,No,No,Yes,No,0,Yes,0
Yes,4,44,no offer,Yes,11.24,Yes,Yes,Fiber Optic,59,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.1,4364.1,0.0,0,494.56,4858.660000000001,United States,California,10253,Female,19,Yes,No,Yes,No,0,Yes,1
Yes,1,40,Offer B,Yes,16.33,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.1,3706.95,41.85,0,653.1999999999999,4318.3,United States,California,406,Male,58,No,No,Yes,No,0,Yes,1
No,0,35,Offer C,Yes,10.73,Yes,Yes,Fiber Optic,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,108.35,3726.15,0.0,0,375.55,4101.7,United States,California,29283,Female,72,No,Yes,No,No,0,No,0
Yes,2,37,no offer,Yes,41.03,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.15,3532.85,0.0,0,1518.11,5050.96,United States,California,24945,Female,40,No,No,Yes,Yes,1,Yes,0
Yes,1,23,Offer D,Yes,27.97,Yes,Yes,Cable,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,91.1,2198.3,0.0,0,643.31,2841.61,United States,California,36625,Female,20,Yes,No,Yes,Yes,2,Yes,0
No,0,65,Offer B,Yes,33.71,Yes,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,26.5,1698.55,0.0,0,2191.15,3889.7,United States,California,16206,Female,42,No,No,No,No,0,No,0
Yes,1,72,Offer A,Yes,27.79,Yes,Yes,Fiber Optic,10,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,No,Credit Card,105.0,7578.05,0.0,0,2000.88,9578.93,United States,California,44117,Female,78,No,Yes,Yes,No,0,Yes,0
No,0,32,Offer C,Yes,33.45,Yes,Yes,DSL,5,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,74.75,2282.95,0.0,0,1070.4,3353.35,United States,California,12756,Female,45,No,No,No,No,0,No,0
No,0,39,no offer,Yes,48.61,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,19.35,779.2,0.0,0,1895.79,2674.99,United States,California,799,Male,42,No,No,No,No,0,No,0
Yes,1,68,Offer A,Yes,1.29,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,118.6,7990.05,38.57,0,87.72,8039.200000000001,United States,California,50641,Female,27,Yes,No,Yes,No,0,Yes,0
Yes,6,24,no offer,No,0.0,No,Yes,DSL,27,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,57.6,1367.75,0.0,0,0.0,1367.75,United States,California,23701,Female,42,No,No,Yes,No,0,Yes,0
No,0,16,Offer D,Yes,22.3,No,Yes,Fiber Optic,28,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,1340.1,0.0,0,356.8,1696.9,United States,California,4258,Female,40,No,No,No,No,0,No,0
No,0,12,no offer,Yes,16.59,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,20.05,267.0,0.0,0,199.08,466.08,United States,California,3337,Male,42,No,No,No,No,0,No,0
No,0,66,no offer,Yes,21.37,No,Yes,DSL,30,Yes,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,61.15,4017.45,0.0,0,1410.42,5427.87,United States,California,2144,Female,25,Yes,No,No,No,0,No,0
No,0,58,no offer,Yes,48.78,Yes,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,25.3,1474.35,0.0,0,2829.24,4303.59,United States,California,2644,Male,39,No,No,No,No,0,No,0
No,0,12,no offer,Yes,7.97,No,Yes,Cable,10,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,56.65,654.85,0.0,0,95.64,750.49,United States,California,173,Male,42,No,No,No,No,0,No,1
Yes,1,23,no offer,Yes,45.21,Yes,Yes,Fiber Optic,14,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,104.45,2184.85,0.0,60,1039.83,3284.68,United States,California,38181,Male,80,No,Yes,Yes,No,0,Yes,0
No,0,37,Offer C,Yes,30.17,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.8,695.05,0.0,0,1116.29,1811.34,United States,California,5395,Female,62,No,No,No,No,0,No,0
No,0,1,Offer E,Yes,42.17,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,20.45,20.45,0.0,0,42.17,62.620000000000005,United States,California,3777,Male,28,Yes,No,No,No,0,No,0
Yes,1,67,Offer A,Yes,14.83,Yes,Yes,DSL,24,No,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,69.9,4615.9,0.0,0,993.61,5609.509999999999,United States,California,42277,Female,46,No,No,Yes,Yes,1,Yes,0
Yes,2,40,no offer,Yes,15.15,No,Yes,Fiber Optic,18,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,98.15,4116.8,27.89,0,606.0,4694.91,United States,California,21343,Male,68,No,Yes,Yes,No,0,Yes,0
Yes,7,72,Offer A,Yes,6.05,Yes,Yes,Cable,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89.05,6254.45,0.0,0,435.6,6690.05,United States,California,7527,Male,39,No,No,Yes,No,0,Yes,0
Yes,1,61,Offer B,Yes,25.14,Yes,Yes,Fiber Optic,13,No,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,94.35,5703.0,29.88,0,1533.54,7206.66,United States,California,3193,Female,55,No,No,Yes,No,0,Yes,0
No,0,26,no offer,Yes,24.16,Yes,Yes,Fiber Optic,22,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.5,2088.8,0.0,0,628.16,2716.96,United States,California,24973,Male,34,No,No,No,No,0,No,1
No,0,1,no offer,No,0.0,No,Yes,DSL,24,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,29.9,29.9,0.0,0,0.0,29.9,United States,California,15396,Female,42,No,No,No,No,0,No,0
No,0,9,no offer,Yes,20.34,No,Yes,Fiber Optic,7,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.8,713.1,0.0,0,183.06,896.1600000000001,United States,California,24977,Male,39,No,No,No,No,0,No,1
No,0,41,no offer,Yes,36.76,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.15,802.35,29.95,0,1507.16,2279.56,United States,California,31373,Male,46,No,No,No,No,0,No,0
No,0,26,Offer C,Yes,9.09,Yes,Yes,Fiber Optic,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.15,2277.65,0.0,0,236.34,2513.99,United States,California,74232,Female,68,No,Yes,No,No,0,No,1
Yes,9,72,no offer,Yes,12.29,Yes,Yes,Fiber Optic,24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,115.8,8476.5,0.0,0,884.8799999999999,9361.38,United States,California,35739,Female,57,No,No,Yes,Yes,2,Yes,0
No,0,54,no offer,No,0.0,No,Yes,DSL,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,55.45,2966.95,0.0,0,0.0,2966.95,United States,California,4354,Male,72,No,Yes,No,No,0,No,0
Yes,7,70,Offer A,Yes,9.03,Yes,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,25.15,1940.85,0.0,0,632.0999999999999,2572.95,United States,California,5597,Male,61,No,No,Yes,No,0,Yes,0
Yes,1,61,no offer,Yes,32.96,Yes,Yes,DSL,41,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,81.0,4976.15,0.0,0,2010.56,6986.709999999999,United States,California,29914,Male,27,Yes,No,Yes,Yes,3,Yes,0
No,0,5,no offer,Yes,41.83,Yes,Yes,Fiber Optic,25,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.15,446.05,0.0,0,209.15,655.2,United States,California,29310,Female,68,No,Yes,No,No,0,No,1
Yes,7,34,no offer,Yes,9.66,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.65,716.4,0.0,0,328.44,1044.84,United States,California,91664,Female,39,No,No,Yes,Yes,1,Yes,0
No,0,35,no offer,Yes,7.74,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,19.15,638.0,0.0,0,270.90000000000003,908.9,United States,California,8449,Male,53,No,No,No,No,0,No,0
Yes,1,20,no offer,Yes,16.49,No,Yes,Fiber Optic,8,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.45,1470.95,0.0,0,329.79999999999995,1800.75,United States,California,47453,Male,47,No,No,Yes,No,0,Yes,1
Yes,4,2,Offer E,No,0.0,No,Yes,Cable,27,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,29.05,44.75,0.0,0,0.0,44.75,United States,California,132,Female,51,No,No,Yes,Yes,2,Yes,0
No,0,32,Offer C,Yes,33.22,No,Yes,Fiber Optic,9,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,2276.95,44.31,0,1063.04,3295.68,United States,California,43718,Female,70,No,Yes,No,No,0,No,1
Yes,1,69,no offer,Yes,2.73,No,Yes,DSL,69,No,Yes,No,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,61.45,4131.2,0.0,0,188.37,4319.57,United States,California,2515,Female,27,Yes,No,Yes,No,0,Yes,0
No,0,3,Offer E,Yes,11.94,Yes,Yes,Cable,30,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.95,329.95,0.0,10,35.82,375.77,United States,California,40611,Male,32,No,No,No,No,0,No,1
Yes,1,72,no offer,Yes,28.06,Yes,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.2,1798.9,0.0,0,2020.32,3819.22,United States,California,73117,Male,22,Yes,No,Yes,Yes,2,Yes,0
No,0,17,no offer,No,0.0,No,Yes,Cable,11,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,25.65,440.2,0.0,0,0.0,440.2,United States,California,1351,Male,63,No,No,No,No,0,No,0
No,0,37,Offer C,Yes,38.06,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.1,3744.05,0.0,0,1408.22,5152.27,United States,California,46086,Male,73,No,Yes,No,No,0,No,1
Yes,6,28,Offer C,Yes,45.67,Yes,Yes,Fiber Optic,8,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,110.85,3204.4,0.0,0,1278.76,4483.16,United States,California,54548,Female,76,No,Yes,Yes,No,0,Yes,0
No,0,1,no offer,No,0.0,No,Yes,Cable,28,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,25.1,25.1,0.0,0,0.0,25.1,United States,California,20675,Female,35,No,No,No,No,0,No,1
No,0,30,no offer,Yes,30.06,No,Yes,Fiber Optic,19,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.25,2755.35,0.0,0,901.8,3657.15,United States,California,28201,Male,33,No,No,No,No,0,No,1
No,0,5,no offer,Yes,29.75,No,Yes,Fiber Optic,6,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.65,399.45,0.0,0,148.75,548.2,United States,California,30933,Female,62,No,No,No,No,0,No,0
Yes,1,72,Offer A,No,0.0,No,Yes,Cable,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,54.2,3937.45,0.0,0,0.0,3937.45,United States,California,264,Female,51,No,No,Yes,No,0,Yes,1
No,0,32,no offer,Yes,19.92,No,Yes,DSL,14,No,Yes,No,Yes,No,No,No,No,One Year,No,Bank Withdrawal,54.65,1830.1,0.0,10,637.44,2477.54,United States,California,7615,Female,69,No,Yes,No,No,0,No,0
No,0,54,no offer,Yes,31.55,Yes,Yes,Fiber Optic,8,No,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,97.2,5129.45,0.0,0,1703.7,6833.15,United States,California,3093,Female,39,No,No,No,No,0,No,0
Yes,1,16,no offer,Yes,46.86,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.6,314.45,26.83,0,749.76,1037.38,United States,California,33057,Female,48,No,No,Yes,No,0,Yes,0
No,0,24,Offer C,No,0.0,No,Yes,DSL,52,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,54.15,1240.25,0.0,0,0.0,1240.25,United States,California,19702,Female,25,Yes,No,No,No,0,No,1
No,0,15,no offer,Yes,39.87,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.6,299.4,0.0,0,598.05,897.4499999999999,United States,California,1839,Female,48,No,No,No,No,0,No,0
Yes,5,39,no offer,Yes,13.8,No,Yes,DSL,13,Yes,Yes,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,59.8,2343.85,0.0,140,538.2,3022.05,United States,California,8870,Male,60,No,No,Yes,Yes,2,Yes,0
No,0,5,no offer,Yes,12.6,No,Yes,Fiber Optic,58,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.7,316.9,0.0,0,63.0,379.9,United States,California,29310,Male,56,No,No,No,Yes,3,No,1
Yes,1,41,Offer B,Yes,35.46,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,19.75,899.45,0.0,0,1453.86,2353.3100000000004,United States,California,28819,Male,21,Yes,No,Yes,No,0,Yes,0
No,0,2,Offer E,Yes,31.74,Yes,Yes,DSL,25,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,56.55,118.25,0.0,0,63.48,181.73,United States,California,844,Female,68,No,Yes,No,No,0,No,0
Yes,2,69,no offer,Yes,19.39,Yes,Yes,Fiber Optic,13,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,105.4,6998.95,0.0,0,1337.91,8336.86,United States,California,5654,Female,73,No,Yes,Yes,No,0,Yes,0
